"Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"Twins","5076.0","0","1","-1","-1","10","0","14","12","36","721","587",".814","262","","3.8","7.1","-0.2","9.7","-0.9","15.7","9.8","19.5"
"Diamondbacks","5427.0","1","0","1","2","-1","3","23","17","47","761","624",".820","263","","4.9","2.5","0.6","4.1","3.9","11.2","5.5","19.1"
"Dodgers","5286.0","3","2","0","1","8","4","30","30","74","738","611",".828","252","","4.4","10.4","-0.1","0.8","3.3","14.4","13.2","14.4"
"Rays","5226.0","3","0","-2","3","7","2","19","12","43","667","539",".808","259","","4.4","4.5","-0.8","5.3","1.3","10.2","8.0","13.6"
"Phillies","5250.0","2","1","5","-1","2","-1","-11","-3","-5","833","668",".802","196","","9.2","5.5","-1.9","-1.1","2.7","5.3","5.5","13.3"
"Cubs","5202.0","-4","-1","-1","2","3","-1","7","2","6","800","660",".825","206","","-13.7","2.6","2.7","2.1","4.1","11.6","4.7","11.6"
"Athletics","5469.0","-6","-1","2","-3","6","1","5","4","9","854","710",".831","223","","-9.7","6.1","-0.6","0.3","6.7","12.6","7.3","11.6"
"Astros","5409.0","0","1","0","-3","-2","8","27","25","54","716","595",".831","273","","-3.5","-1.1","-3.2","11.4","2.4","9.5","4.5","7.5"
"Royals","5124.0","2","1","0","1","1","0","4","11","15","830","661",".796","227","","5.0","-1.2","1.5","1.9","7.0","9.2","2.9","7.2"
"Angels","5256.0","-3","-3","-1","-4","-5","-1","7","1","-10","788","651",".826","224","","-5.7","-1.7","-1.9","5.4","5.6","7.4","1.8","6.4"
"Padres","5274.0","13","4","1","-3","3","2","-5","0","12","817","655",".802","226","","20.3","0.1","-2.2","3.3","3.4","4.5","1.5","5.5"
"Reds","5109.0","3","-2","-2","3","2","5","11","8","29","708","561",".792","228","","5.6","-2.6","3.7","1.0","3.0","5.1","0.0","5.1"
"Marlins","5064.0","1","-2","1","3","-4","4","-1","-1","1","754","604",".801","211","","2.1","2.1","1.2","0.4","-2.2","1.5","1.2","3.5"
"Red Sox","5310.0","4","1","1","-2","4","9","-15","4","6","769","637",".828","203","","11.7","6.3","-1.6","-4.3","1.2","1.7","4.3","2.7"
"Cardinals","4992.0","-5","-2","0","1","2","-2","17","15","29","716","595",".831","200","","-6.0","3.7","2.0","1.5","1.3","8.6","5.4","2.6"
"Giants","5148.0","8","-1","0","-3","1","-2","21","6","30","774","635",".820","208","","14.7","1.2","-0.9","7.5","-5.0","2.8","1.8","1.8"
"Rockies","5196.0","-5","2","2","2","-6","-1","-5","11","0","811","659",".813","244","","-7.5","-4.8","1.6","0.7","-0.2","-2.8","-3.3","-0.8"
"Brewers","5403.0","2","-4","-2","1","0","4","14","5","21","740","581",".785","250","","10.7","0.4","0.6","3.0","-4.9","-1.0","-0.3","-2.0"
"Indians","5133.0","6","1","0","-1","-1","0","-2","12","13","728","589",".809","227","","4.6","-1.7","-0.5","-3.2","0.8","-4.5","-2.4","-2.5"
"Yankees","5139.0","-3","0","1","1","0","3","-8","3","-9","723","563",".779","240","","-10.3","-0.3","1.0","-0.8","-1.6","-1.7","-1.0","-3.7"
"Blue Jays","5184.0","5","0","1","-2","-1","-2","-20","11","-8","789","632",".801","243","","12.2","-0.8","-2.1","-7.5","2.2","-8.1","-2.8","-4.1"
"Rangers","5139.0","-4","0","-5","3","-2","-2","-21","6","-27","834","656",".787","204","","-17.4","-4.2","1.3","-0.6","4.8","1.2","-1.4","-4.8"
"Tigers","5046.0","-1","1","0","-2","-5","-4","-9","3","-18","812","646",".796","197","","-7.1","-5.8","0.7","-3.8","0.0","-8.9","-5.7","-6.9"
"Braves","5262.0","6","1","-2","-1","-2","1","8","-2","8","812","662",".815","211","","11.1","-2.4","-0.2","-4.7","1.2","-6.1","-3.2","-8.1"
"Orioles","5184.0","-10","-1","4","4","-9","-6","-22","6","-33","771","631",".818","288","","-8.7","-9.3","0.2","1.6","-6.3","-13.8","-9.6","-8.8"
"Pirates","5157.0","-3","-1","0","1","-2","-3","-7","6","-8","762","614",".806","232","","-7.7","-0.7","0.1","-3.8","-7.0","-11.5","-5.5","-12.5"
"White Sox","4938.0","-3","1","1","2","-1","1","-13","12","1","710","571",".804","243","","-11.7","-3.0","0.7","-2.7","-7.8","-12.8","-6.1","-12.8"
"Nationals","5142.0","-3","1","1","-1","1","-1","-29","2","-31","719","583",".811","209","","-4.1","-6.7","-1.4","-8.2","-1.6","-17.8","-10.1","-16.8"
"Mets","5250.0","-7","1","1","3","1","-7","-34","-8","-52","785","624",".795","208","","-7.6","0.8","0.9","-6.6","-2.1","-7.0","-2.2","-17.6"
"Mariners","5538.0","-5","-3","0","-4","-7","-5","-31","-1","-60","915","713",".779","270","","-9.5","-7.0","-1.1","-12.7","-13.3","-34.0","-12.9","-37.0"
