"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Rays","5","1","3","23","6","53.0","12.91","2.72","0.51",".333","75.8 %","47.4 %","7.3 %","2.72","1.92","2.61","2.0"
"Padres","5","2","5","33","7","61.0","9.59","3.25","0.44",".280","66.4 %","44.8 %","6.1 %","3.69","2.93","3.78","1.8"
"Giants","4","3","2","28","7","72.0","9.13","1.63","0.88",".243","85.4 %","48.6 %","13.0 %","2.25","3.05","3.17","1.7"
"Indians","3","3","1","25","6","51.0","10.24","2.12","0.71",".309","76.8 %","41.0 %","7.8 %","2.82","2.65","3.48","1.4"
"Cubs","3","3","1","26","6","53.0","9.17","3.06","0.68",".282","82.2 %","46.1 %","9.8 %","2.38","3.22","3.67","1.2"
"Diamondbacks","1","5","0","23","6","54.0","12.00","2.17","1.33",".290","72.7 %","40.8 %","18.6 %","3.83","3.18","2.73","1.2"
"Reds","4","1","2","21","5","44.0","11.05","3.27","0.82",".299","90.5 %","40.6 %","10.5 %","2.05","3.17","3.58","1.1"
"Astros","6","0","5","24","6","54.0","9.83","2.33","1.50",".271","70.9 %","35.1 %","16.1 %","4.33","3.96","3.71","0.7"
"Cardinals","5","1","2","27","6","53.0","9.34","3.06","1.19",".246","84.6 %","37.2 %","12.3 %","3.06","4.15","4.41","0.7"
"Rockies","0","6","0","33","6","60.1","7.16","4.18","1.04",".288","66.1 %","46.1 %","12.1 %","5.07","4.50","4.77","0.7"
"Pirates","3","3","3","21","6","52.0","10.56","2.94","1.56",".236","72.7 %","36.6 %","16.1 %","2.94","4.15","3.88","0.6"
"Red Sox","3","2","2","28","5","45.0","9.40","3.60","1.00",".280","62.8 %","53.8 %","13.5 %","5.00","3.83","3.91","0.6"
"Tigers","2","3","2","24","5","44.0","8.59","4.91","1.02",".282","79.6 %","36.3 %","11.6 %","3.27","4.42","4.74","0.5"
"Nationals","4","2","1","29","6","55.0","8.84","3.27","1.64",".272","77.1 %","43.8 %","18.9 %","4.42","4.91","4.32","0.5"
"Phillies","3","3","2","24","6","54.0","7.67","1.83","1.67",".343","60.6 %","41.9 %","15.9 %","6.17","4.52","4.26","0.5"
"Braves","4","2","1","27","6","54.0","7.83","4.33","1.00",".279","69.1 %","45.8 %","10.5 %","4.50","4.29","4.80","0.4"
"Brewers","3","3","2","23","6","51.0","6.53","3.35","1.76",".257","74.1 %","46.2 %","19.2 %","4.59","5.42","4.75","0.3"
"Mariners","5","2","3","29","7","64.0","8.44","2.95","1.55",".303","72.2 %","40.1 %","14.5 %","5.06","4.68","4.63","0.3"
"Yankees","2","4","0","24","6","48.1","9.12","3.72","1.68",".316","70.7 %","44.8 %","19.1 %","5.59","4.78","4.15","0.3"
"Twins","2","2","1","20","4","34.0","9.00","5.82","1.59",".267","69.5 %","38.9 %","16.2 %","5.82","5.47","5.18","0.3"
"Dodgers","1","6","0","33","7","59.0","8.69","3.51","1.22",".314","59.4 %","39.8 %","13.6 %","6.25","4.50","4.58","0.3"
"Angels","5","1","4","28","6","53.0","9.17","3.40","1.53",".285","81.4 %","36.8 %","15.0 %","3.91","4.79","4.67","0.2"
"Royals","2","5","1","30","7","63.0","9.29","3.14","1.43",".312","71.1 %","41.4 %","17.2 %","5.14","4.38","4.02","0.2"
"Blue Jays","2","3","2","24","5","43.1","8.52","3.95","1.66",".309","72.2 %","48.5 %","18.6 %","4.57","5.18","4.61","0.1"
"Marlins","1","5","0","20","6","50.0","9.90","4.14","1.98",".341","67.6 %","37.6 %","20.4 %","6.66","5.37","4.50","0.1"
"Athletics","4","2","2","27","6","52.2","7.18","3.59","1.54",".285","61.5 %","41.6 %","13.6 %","6.32","5.02","5.12","0.1"
"Rangers","1","3","1","19","4","34.1","8.65","3.41","1.83",".298","71.8 %","33.3 %","16.7 %","5.77","5.45","5.05","-0.1"
"Mets","3","3","1","25","6","53.0","9.68","4.75","2.04",".345","58.5 %","45.2 %","19.0 %","7.64","5.58","4.83","-0.1"
"White Sox","1","5","1","27","6","50.0","9.72","5.58","1.98",".356","62.0 %","47.1 %","21.2 %","7.56","5.77","4.82","-0.2"
"Orioles","2","5","0","28","7","62.0","6.10","3.34","3.34",".296","62.0 %","39.0 %","24.0 %","7.98","7.92","5.95","-1.0"
