"Team","PA","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","O-Swing%","Z-Contact%","HardHit%"
"HOU","3337","474","28","9.8%","18.6%",".171",".309",".273",".350",".444",".344","122","-9.0","28.0%","88.2%","41.4%"
"TOR","3102","423","39","8.1%","21.9%",".187",".307",".265",".328",".452",".337","111","-5.3","31.6%","86.0%","41.8%"
"SFG","3137","410","35","10.2%","25.1%",".193",".292",".242",".325",".435",".329","110","-6.6","27.3%","83.4%","39.8%"
"BOS","3190","435","31","7.4%","23.3%",".180",".312",".260",".322",".440",".329","104","3.5","34.7%","82.7%","41.8%"
"CHW","3094","414","35","10.2%","23.3%",".154",".315",".255",".338",".409",".328","109","9.1","32.8%","84.7%","38.8%"
"LAA","3108","411","30","7.6%","22.9%",".184",".303",".255",".319",".439",".327","108","2.2","32.6%","85.4%","37.3%"
"LAD","3245","428","25","10.9%","22.9%",".171",".287",".240",".336",".411",".327","110","0.5","26.8%","84.9%","39.5%"
"CIN","3164","406","22","8.9%","22.9%",".170",".297",".249",".329",".418",".326","103","-5.8","31.1%","85.2%","38.7%"
"MIN","3107","381","27","8.7%","22.8%",".187",".285",".245",".317",".433",".324","104","-1.3","31.4%","83.7%","42.0%"
"ATL","3090","390","39","9.8%","25.1%",".187",".286",".237",".320",".424",".321","101","2.9","30.9%","81.9%","41.4%"
"WSN","2981","330","37","8.5%","23.2%",".152",".305",".250",".323",".403",".317","98","-4.6","28.7%","84.8%","41.8%"
"SDP","3241","397","77","10.2%","22.1%",".163",".282",".240",".323",".403",".316","102","6.2","27.1%","86.1%","41.8%"
"NYY","3089","341","17","10.8%","24.5%",".159",".284",".235",".321",".394",".314","99","-14.7","28.4%","82.7%","42.4%"
"OAK","3211","383","33","9.3%","23.0%",".170",".276",".233",".315",".403",".314","102","2.9","28.7%","84.8%","40.3%"
"TBR","3242","406","55","10.0%","26.7%",".163",".290",".229",".314",".391",".309","99","4.1","30.2%","80.0%","39.3%"
"COL","3122","366","47","8.3%","22.9%",".152",".298",".244",".311",".396",".307","79","14.9","32.5%","85.4%","36.3%"
"PHI","3023","342","47","8.9%","25.4%",".151",".296",".236",".312",".387",".305","92","3.1","31.1%","82.4%","37.6%"
"CHC","3066","347","45","8.9%","26.6%",".169",".276",".223",".303",".393",".304","92","-1.3","31.9%","83.1%","39.8%"
"MIL","3203","375","43","10.1%","25.8%",".160",".273",".221",".311",".380",".304","91","4.9","29.4%","82.9%","39.7%"
"BAL","3093","346","26","7.8%","23.8%",".157",".286",".237",".302",".393",".304","92","-4.6","34.4%","83.6%","35.1%"
"DET","3079","343","55","8.9%","27.0%",".150",".303",".236",".308",".386",".304","90","0.7","32.5%","81.7%","38.5%"
"KCR","3044","342","55","7.5%","22.1%",".145",".293",".245",".306",".390",".304","90","9.0","34.1%","85.1%","39.1%"
"TEX","3121","345","52","8.0%","24.4%",".149",".284",".233",".302",".383",".300","89","-6.7","32.3%","81.9%","36.9%"
"CLE","2923","347","36","7.8%","23.2%",".166",".267",".227",".296",".393",".300","86","0.1","32.5%","84.2%","40.4%"
"NYM","2840","295","26","8.7%","24.6%",".140",".285",".229",".309",".369",".299","93","-11.8","33.1%","83.7%","37.8%"
"ARI","3276","358","20","8.7%","23.8%",".140",".288",".231",".305",".371",".297","86","0.8","30.3%","84.1%","36.1%"
"SEA","3077","352","39","8.6%","26.4%",".165",".268",".219",".294",".383",".297","91","1.9","30.2%","82.3%","36.9%"
"STL","3109","334","43","8.1%","22.1%",".150",".268",".227",".300",".377",".295","88","2.5","31.2%","84.2%","38.1%"
"MIA","3039","325","54","8.1%","26.2%",".139",".295",".232",".301",".371",".294","90","1.8","33.3%","83.6%","37.7%"
"PIT","3046","285","27","8.4%","22.4%",".124",".277",".226",".298",".350",".286","81","2.3","31.0%","87.0%","32.6%"
