"Team","IP","K/9","BB/9","HR/9","BABIP","LOB%","ERA","FIP","xFIP","WHIP"
"SDP","54.0","9.00","2.50","0.67",".245","86.5%","1.83","2.89","3.36","0.98"
"TOR","54.0","7.67","2.33","0.83",".248","90.0%","1.83","3.49","3.82","1.02"
"TBR","58.2","8.90","2.30","0.92",".247","77.3%","2.15","3.42","3.57","1.02"
"MIL","56.0","9.16","1.61","0.64",".289","77.2%","2.41","2.69","2.77","1.02"
"CLE","37.0","8.51","2.43","0.73",".264","71.8%","2.43","3.23","3.15","1.00"
"MIA","55.0","7.53","3.60","0.82",".260","79.4%","2.45","3.97","4.22","1.22"
"HOU","61.0","9.15","2.07","1.03",".292","80.4%","2.51","3.34","3.44","1.15"
"ATL","53.0","9.34","3.91","0.34",".306","78.0%","2.55","2.98","3.59","1.30"
"CIN","44.0","6.34","3.07","0.61",".202","78.4%","2.66","3.73","4.35","0.98"
"PHI","55.0","10.15","3.11","0.82",".310","80.6%","2.78","3.06","3.29","1.25"
"CHW","70.0","9.00","2.70","0.77",".311","81.4%","2.96","3.15","3.56","1.23"
"LAD","63.2","10.18","2.54","1.27",".277","79.1%","3.11","3.62","3.04","1.10"
"CHC","64.0","9.84","2.25","1.41",".278","76.8%","3.38","3.69","2.80","1.09"
"NYM","63.0","8.00","2.29","1.00",".316","78.0%","3.43","3.76","4.01","1.32"
"TEX","61.0","7.97","3.69","1.03",".306","78.5%","3.69","4.10","3.85","1.38"
"MIN","53.0","6.96","2.38","0.68",".299","74.1%","3.74","3.44","4.02","1.26"
"NYY","62.1","9.10","1.30","1.16",".305","70.5%","4.04","3.37","3.12","1.14"
"BOS","64.0","9.56","1.83","1.83",".278","70.9%","4.08","4.36","3.30","1.14"
"BAL","69.0","7.70","3.13","1.43",".286","71.2%","4.30","4.59","4.04","1.33"
"STL","61.0","7.67","3.69","1.18",".275","68.2%","4.57","4.52","4.20","1.34"
"COL","54.0","8.17","2.67","0.83",".325","66.7%","4.67","3.43","3.76","1.39"
"LAA","52.0","10.56","3.29","1.38",".311","67.4%","4.67","4.02","3.35","1.33"
"KCR","73.0","6.66","3.95","0.49",".308","66.7%","4.81","3.77","4.32","1.45"
"OAK","52.0","8.48","4.33","1.21",".307","71.2%","5.02","4.52","4.13","1.50"
"DET","42.0","7.07","2.14","1.71",".311","72.1%","5.14","4.86","3.76","1.31"
"WSN","51.0","6.35","3.00","1.59",".327","73.5%","5.29","5.16","4.38","1.55"
"ARI","68.0","7.81","3.97","1.99",".268","66.2%","5.96","5.60","4.70","1.43"
"SFG","54.0","7.50","3.17","1.00",".341","62.3%","6.00","4.10","3.96","1.56"
"SEA","58.2","7.67","3.84","1.84",".322","66.9%","6.44","5.48","4.76","1.59"
"PIT","52.0","8.13","3.63","1.21",".345","53.1%","6.92","4.31","4.15","1.65"
